geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene180,0.000000,0.289617,0.672432,3.246510,0.000000,6.836437,0.021998
gene181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene183,0.000000,26.761919,6.022182,0.092010,0.000000,4.430350,7.415572
gene184,14.568096,2.877174,34.624618,19.953323,38.089717,17.358020,36.324797
gene185,0.000000,0.278876,0.128149,0.000000,0.000000,13.520124,0.000000
gene186,16.987351,0.000000,3.171366,33.929045,0.000000,14.632951,1.367027
gene187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene189,7.397988,14.399030,13.594488,21.773238,3.412487,6.127430,2.748346
gene190,131.576330,248.811245,179.473945,165.842007,147.207264,134.784412,181.052270
gene191,0.213027,0.000000,0.285987,0.209737,0.000000,0.124167,0.074846
gene192,0.000000,0.000000,0.534928,0.000000,0.000000,0.000000,0.024705
gene193,0.000000,0.247851,0.480881,4.510380,2.008784,7.472221,8.981842
gene194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene195,0.000000,0.069548,0.671136,0.046875,2.581826,0.000000,0.125460
gene196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene197,0.000000,0.000000,0.322732,0.000000,0.000000,0.000000,0.000000
gene198,0.000000,5.243643,0.303567,0.194799,1.720981,0.000000,2.860087
gene199,0.000000,0.530052,0.000000,0.000000,0.000000,0.000000,0.000000
gene200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.129392
gene201,17.724698,13.443862,8.465796,55.403259,108.095028,15.033401,0.179642
gene202,35.658871,0.283097,13.182345,21.172444,6.063878,43.293186,37.828520
gene203,0.000000,0.832240,0.143412,0.000000,14.160276,14.777555,17.752829
gene204,0.000000,0.000000,0.000000,0.000000,0.269765,0.000000,0.029888
gene205,0.000000,0.000000,0.000000,4.374382,7.363038,0.000000,32.731604
gene206,1.210938,59.392640,0.000000,0.433543,0.279286,1.882209,12.841316
gene207,0.000000,0.000000,0.037403,4.526071,0.000000,2.760704,0.146832
gene208,13.924258,4.218937,0.208650,0.816100,10.974497,7.206908,4.659708
gene209,25.797689,10.416271,0.548233,15.340100,5.379302,16.258983,8.542485
gene210,2.460221,0.000000,0.000000,2.153103,0.000000,0.000000,0.000000
gene211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene213,362.401526,296.492890,198.714152,277.488451,202.322725,186.418244,264.127373
gene214,0.000000,0.000000,0.030112,0.022083,0.026509,8.754091,1.512571
gene215,0.505718,0.142983,21.784372,1.584749,0.827746,16.456498,43.974163
gene216,114.608394,104.044393,32.168804,46.292963,63.012622,89.245850,119.810774
gene217,26.331547,5.544354,2.292973,1.980562,15.238092,13.141127,22.523561
gene218,167.109123,278.683727,132.556712,48.239660,119.930254,169.736743,137.517451
gene219,0.000000,4.696600,16.356798,26.565957,35.417623,33.284172,5.286077
gene220,0.000000,0.000000,0.000000,0.032556,0.000000,0.000000,0.000000
gene221,708.719902,660.296509,580.100768,364.268756,255.080208,433.108764,607.498046
gene222,66.279682,75.448544,144.330538,35.282516,110.974951,80.408593,86.080511
gene223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene224,235.647381,199.608444,224.504925,195.815810,211.272474,168.092182,133.705364
gene225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene226,0.041142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene229,0.000000,0.000000,0.018717,0.013727,0.000000,0.000000,0.000000
gene230,9.468297,0.020674,0.760022,0.167213,24.559642,9.635310,2.267528
gene231,96.088561,150.517903,357.065376,168.102958,175.682581,171.885610,154.965205
gene232,21.786967,31.571862,223.738423,138.551343,41.206890,93.655572,57.480418
gene233,0.000000,17.938553,10.422374,0.000000,5.237203,28.754623,1.264636
gene234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene236,0.000000,0.000000,0.000000,0.000000,0.000000,0.021737,0.000000
gene237,0.177799,0.865751,67.710901,20.948168,13.419516,24.043339,13.087474
gene238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene239,0.000000,0.000000,0.000000,2.062517,13.608704,18.303323,0.000000
gene240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene241,0.492202,65.531631,63.058344,87.597883,19.444295,84.155413,16.206583
gene242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene244,0.000000,0.531707,6.841262,0.000000,2.216256,1.188109,9.269308
gene245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene246,0.000000,0.406697,0.000000,0.000000,0.000000,0.000000,0.000000
gene247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene248,0.000000,0.469168,24.491305,2.340045,2.933373,5.766027,11.713362
gene249,7.415551,3.593042,16.772356,9.782716,12.789297,2.640257,2.926337
gene250,317.739407,249.520707,292.336693,242.066405,211.908777,193.777377,211.603595
gene251,22.521550,20.245281,20.224208,45.880012,21.593362,28.917873,47.953548
gene252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene253,0.118705,4.171436,0.984981,0.509938,4.653457,0.000000,0.545880
gene254,0.000000,0.000000,0.019009,0.000000,0.000000,0.000000,0.000000
gene255,38.807253,45.069399,67.567537,48.602674,18.590060,49.829269,173.579416
gene256,17.498560,10.009229,5.007002,12.211471,39.277803,39.129730,20.295749
gene257,0.000000,40.660922,29.881190,0.923812,9.521527,11.910494,30.548122
gene258,12.597324,127.042790,94.847533,108.642136,43.820607,135.246859,79.122089
gene259,244.408508,77.380098,285.353562,168.918520,61.880114,71.471864,171.834157
gene260,13.734246,5.215851,11.096969,12.327262,7.097088,4.413725,10.214071
gene261,2.053893,0.000000,0.568986,7.382582,0.000000,0.000000,7.147661
gene262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene267,15.502042,0.000000,0.067189,1.576773,11.189075,0.029171,0.000000
gene268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.745297
gene269,163.321496,18.071245,28.349929,107.574498,35.560363,79.898883,57.034259
gene270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene271,0.000000,8.104191,2.754776,0.000000,3.109009,7.441978,2.963924
gene272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
